Experiment name:,Goats and others
Duration:, 10 0
Rate:, 20 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S
Units:, \xc2\xb5S
Time
'0:0:27.7,1.0504
'0:0:27.75,1.0504
'0:0:27.8,1.0504
'0:0:27.85,1.0488
'0:0:27.9,1.0488
'0:0:27.95,1.0488
'0:0:28.0,1.0488
'0:0:28.05,1.0488
'0:0:28.1,1.0471
'0:0:28.15,1.0471
'0:0:28.2,1.0471
'0:0:28.25,1.0471
'0:0:28.3,1.0471
'0:0:28.35,1.0454
'0:0:28.4,1.0454
'0:0:28.45,1.0454
'0:0:28.5,1.0454
'0:0:28.55,1.0454
'0:0:28.6,1.0439
'0:0:28.65,1.0439
'0:0:28.7,1.0439
'0:0:28.75,1.0439
'0:0:28.8,1.0439
'0:0:28.85,1.0428
'0:0:28.9,1.0428
'0:0:28.95,1.0428
'0:0:29.0,1.0428
'0:0:29.05,1.0428
'0:0:29.1,1.0417
'0:0:29.15,1.0417
'0:0:29.2,1.0417
'0:0:29.25,1.0417
'0:0:29.3,1.0417
'0:0:29.35,1.0406
'0:0:29.4,1.0406
'0:0:29.45,1.0406
'0:0:29.5,1.0406
'0:0:29.55,1.0406
'0:0:29.6,1.0396
'0:0:29.65,1.0396
'0:0:29.7,1.0396
'0:0:29.75,1.0396
'0:0:29.8,1.0396
'0:0:29.85,1.0383
'0:0:29.9,1.0383
'0:0:29.95,1.0383
'0:0:30.0,1.0383
'0:0:30.05,1.0383
'0:0:30.1,1.0372
'0:0:30.15,1.0372
'0:0:30.2,1.0372
'0:0:30.25,1.0372
'0:0:30.3,1.0372
'0:0:30.35,1.0360
'0:0:30.4,1.0360
'0:0:30.45,1.0360
'0:0:30.5,1.0360
'0:0:30.55,1.0360
'0:0:30.6,1.0347
'0:0:30.65,1.0347
'0:0:30.7,1.0347
'0:0:30.75,1.0347
'0:0:30.8,1.0347
'0:0:30.85,1.0318
'0:0:30.9,1.0318
'0:0:30.95,1.0318
'0:0:31.0,1.0318
'0:0:31.05,1.0318
'0:0:31.1,1.0292
'0:0:31.15,1.0292
'0:0:31.2,1.0292
'0:0:31.25,1.0292
'0:0:31.3,1.0292
'0:0:31.35,1.0295
'0:0:31.4,1.0295
'0:0:31.45,1.0295
'0:0:31.5,1.0295
'0:0:31.55,1.0295
'0:0:31.6,1.0285
'0:0:31.65,1.0285
'0:0:31.7,1.0285
'0:0:31.75,1.0285
'0:0:31.8,1.0285
'0:0:31.85,1.0310
'0:0:31.9,1.0310
'0:0:31.95,1.0310
'0:0:32.0,1.0310
'0:0:32.05,1.0310
'0:0:32.1,1.0338
'0:0:32.15,1.0338
'0:0:32.2,1.0338
'0:0:32.25,1.0338
'0:0:32.3,1.0338
'0:0:32.35,1.0332
'0:0:32.4,1.0332
'0:0:32.45,1.0332
'0:0:32.5,1.0332
'0:0:32.55,1.0332
'0:0:32.6,1.0310
'0:0:32.65,1.0310
'0:0:32.7,1.0310
'0:0:32.75,1.0310
'0:0:32.8,1.0310
'0:0:32.85,1.0232
'0:0:32.9,1.0232
'0:0:32.95,1.0232
'0:0:33.0,1.0232
'0:0:33.05,1.0232
'0:0:33.1,1.0147
'0:0:33.15,1.0147
'0:0:33.2,1.0147
'0:0:33.25,1.0147
'0:0:33.3,1.0094
'0:0:33.35,1.0094
'0:0:33.4,1.0094
'0:0:33.45,1.0094
'0:0:33.5,1.0094
'0:0:33.55,1.0106
'0:0:33.6,1.0106
'0:0:33.65,1.0106
'0:0:33.7,1.0106
'0:0:33.75,1.0106
'0:0:33.8,1.0176
'0:0:33.85,1.0176
'0:0:33.9,1.0176
'0:0:33.95,1.0176
'0:0:34.0,1.0176
'0:0:34.05,1.0276
'0:0:34.1,1.0276
'0:0:34.15,1.0276
'0:0:34.2,1.0276
'0:0:34.25,1.0276
'0:0:34.3,1.0380
'0:0:34.35,1.0380
'0:0:34.4,1.0380
'0:0:34.45,1.0380
'0:0:34.5,1.0380
'0:0:34.55,1.0471
'0:0:34.6,1.0471
'0:0:34.65,1.0471
'0:0:34.7,1.0471
'0:0:34.75,1.0471
'0:0:34.8,1.0541
'0:0:34.85,1.0541
'0:0:34.9,1.0541
'0:0:34.95,1.0541
'0:0:35.0,1.0541
'0:0:35.05,1.0568
'0:0:35.1,1.0568
'0:0:35.15,1.0568
'0:0:35.2,1.0568
'0:0:35.25,1.0568
'0:0:35.3,1.0557
'0:0:35.35,1.0557
'0:0:35.4,1.0557
'0:0:35.45,1.0557
'0:0:35.5,1.0557
'0:0:35.55,1.0496
'0:0:35.6,1.0496
'0:0:35.65,1.0496
'0:0:35.7,1.0496
'0:0:35.75,1.0496
'0:0:35.8,1.0444
'0:0:35.85,1.0444
'0:0:35.9,1.0444
'0:0:35.95,1.0444
'0:0:36.0,1.0444
'0:0:36.05,1.0430
'0:0:36.1,1.0430
'0:0:36.15,1.0430
'0:0:36.2,1.0430
'0:0:36.25,1.0430
'0:0:36.3,1.0441
'0:0:36.35,1.0441
'0:0:36.4,1.0441
'0:0:36.45,1.0441
'0:0:36.5,1.0441
'0:0:36.55,1.0468
'0:0:36.6,1.0468
'0:0:36.65,1.0468
'0:0:36.7,1.0468
'0:0:36.75,1.0468
'0:0:36.8,1.0487
'0:0:36.85,1.0487
'0:0:36.9,1.0487
'0:0:36.95,1.0487
'0:0:37.0,1.0487
'0:0:37.05,1.0484
'0:0:37.1,1.0484
