Experiment name:,1st experiment
Duration:, 5 0
Rate:, 50 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, Arb
Units:, Arb
Time
'0:0:13.86,25942
'0:0:13.88,25942
'0:0:13.9,25942
'0:0:13.92,25942
'0:0:13.94,25942
'0:0:13.96,25942
'0:0:13.98,25942
'0:0:14.0,25942
'0:0:14.02,25942
'0:0:14.04,25942
'0:0:14.06,25942
'0:0:14.08,25942
'0:0:14.1,25936
'0:0:14.12,25936
'0:0:14.14,25936
'0:0:14.16,25936
'0:0:14.18,25936
'0:0:14.2,25936
'0:0:14.22,25936
'0:0:14.24,25936
'0:0:14.26,25936
'0:0:14.28,25936
'0:0:14.3,25936
'0:0:14.32,25936
'0:0:14.34,25936
'0:0:14.36,25934
'0:0:14.38,25934
'0:0:14.4,25934
'0:0:14.42,25934
'0:0:14.44,25934
'0:0:14.46,25934
'0:0:14.48,25934
'0:0:14.5,25934
'0:0:14.52,25934
'0:0:14.54,25934
'0:0:14.56,25934
'0:0:14.58,25934
'0:0:14.6,25937
'0:0:14.62,25937
'0:0:14.64,25937
'0:0:14.66,25937
'0:0:14.68,25937
'0:0:14.7,25937
'0:0:14.72,25937
'0:0:14.74,25937
'0:0:14.76,25937
'0:0:14.78,25937
'0:0:14.8,25937
'0:0:14.82,25937
'0:0:14.84,25941
'0:0:14.86,25941
'0:0:14.88,25941
'0:0:14.9,25941
'0:0:14.92,25941
'0:0:14.94,25941
'0:0:14.96,25941
'0:0:14.98,25941
'0:0:15.0,25941
'0:0:15.02,25941
'0:0:15.04,25941
'0:0:15.06,25941
'0:0:15.08,25941
'0:0:15.1,25942
'0:0:15.12,25942
'0:0:15.14,25942
'0:0:15.16,25942
'0:0:15.18,25942
'0:0:15.2,25942
'0:0:15.22,25942
'0:0:15.24,25942
'0:0:15.26,25942
'0:0:15.28,25942
'0:0:15.3,25942
'0:0:15.32,25942
'0:0:15.34,25943
'0:0:15.36,25943
'0:0:15.38,25943
'0:0:15.4,25943
'0:0:15.42,25943
'0:0:15.44,25943
'0:0:15.46,25943
'0:0:15.48,25943
'0:0:15.5,25943
'0:0:15.52,25943
'0:0:15.54,25943
'0:0:15.56,25943
'0:0:15.58,25943
'0:0:15.6,25950
'0:0:15.62,25950
'0:0:15.64,25950
'0:0:15.66,25950
'0:0:15.68,25950
'0:0:15.7,25950
'0:0:15.72,25950
'0:0:15.74,25950
'0:0:15.76,25950
'0:0:15.78,25950
'0:0:15.8,25950
'0:0:15.82,25950
'0:0:15.84,25955
'0:0:15.86,25955
'0:0:15.88,25955
'0:0:15.9,25955
'0:0:15.92,25955
'0:0:15.94,25955
'0:0:15.96,25955
'0:0:15.98,25955
'0:0:16.0,25955
'0:0:16.02,25955
'0:0:16.04,25955
'0:0:16.06,25955
'0:0:16.08,25964
'0:0:16.1,25964
'0:0:16.12,25964
'0:0:16.14,25964
'0:0:16.16,25964
'0:0:16.18,25964
'0:0:16.2,25964
'0:0:16.22,25964
'0:0:16.24,25964
'0:0:16.26,25964
'0:0:16.28,25964
'0:0:16.3,25964
'0:0:16.32,25964
'0:0:16.34,25974
'0:0:16.36,25974
'0:0:16.38,25974
'0:0:16.4,25974
'0:0:16.42,25974
'0:0:16.44,25974
'0:0:16.46,25974
'0:0:16.48,25974
'0:0:16.5,25974
'0:0:16.52,25974
'0:0:16.54,25974
'0:0:16.56,25974
'0:0:16.58,25977
'0:0:16.6,25977
'0:0:16.62,25977
'0:0:16.64,25977
'0:0:16.66,25977
'0:0:16.68,25977
'0:0:16.7,25977
'0:0:16.72,25977
'0:0:16.74,25977
'0:0:16.76,25977
'0:0:16.78,25977
'0:0:16.8,25977
'0:0:16.82,25977
'0:0:16.84,25983
'0:0:16.86,25983
'0:0:16.88,25983
'0:0:16.9,25983
'0:0:16.92,25983
'0:0:16.94,25983
'0:0:16.96,25983
'0:0:16.98,25983
'0:0:17.0,25983
'0:0:17.02,25983
'0:0:17.04,25983
'0:0:17.06,25983
'0:0:17.08,25989
'0:0:17.1,25989
'0:0:17.12,25989
'0:0:17.14,25989
'0:0:17.16,25989
'0:0:17.18,25989
'0:0:17.2,25989
'0:0:17.22,25989
'0:0:17.24,25989
'0:0:17.26,25989
'0:0:17.28,25989
'0:0:17.3,25989
'0:0:17.32,25989
'0:0:17.34,25993
'0:0:17.36,25993
'0:0:17.38,25993
'0:0:17.4,25993
'0:0:17.42,25993
'0:0:17.44,25993
'0:0:17.46,25993
'0:0:17.48,25993
'0:0:17.5,25993
'0:0:17.52,25993
'0:0:17.54,25993
'0:0:17.56,25993
'0:0:17.58,25994
'0:0:17.6,25994
'0:0:17.62,25994
'0:0:17.64,25994
'0:0:17.66,25994
'0:0:17.68,25994
'0:0:17.7,25994
'0:0:17.72,25994
'0:0:17.74,25994
'0:0:17.76,25994
'0:0:17.78,25994
'0:0:17.8,25994
'0:0:17.82,25995
'0:0:17.84,25995
'0:0:17.86,25995
'0:0:17.88,25995
'0:0:17.9,25995
'0:0:17.92,25995
'0:0:17.94,25995
'0:0:17.96,25995
'0:0:17.98,25995
'0:0:18.0,25995
'0:0:18.02,25995
'0:0:18.04,25995
'0:0:18.06,25995
'0:0:18.08,25997
'0:0:18.1,25997
'0:0:18.12,25997
'0:0:18.14,25997
'0:0:18.16,25997
'0:0:18.18,25997
'0:0:18.2,25997
'0:0:18.22,25997
'0:0:18.24,25997
'0:0:18.26,25997
'0:0:18.28,25997
'0:0:18.3,25997
'0:0:18.32,25999
'0:0:18.34,25999
'0:0:18.36,25999
'0:0:18.38,25999
'0:0:18.4,25999
'0:0:18.42,25999
'0:0:18.44,25999
'0:0:18.46,25999
'0:0:18.48,25999
'0:0:18.5,25999
'0:0:18.52,25999
'0:0:18.54,25999
'0:0:18.56,25999
'0:0:18.58,26001
'0:0:18.6,26001
'0:0:18.62,26001
'0:0:18.64,26001
'0:0:18.66,26001
'0:0:18.68,26001
'0:0:18.7,26001
'0:0:18.72,26001
'0:0:18.74,26001
'0:0:18.76,26001
'0:0:18.78,26001
'0:0:18.8,26001
'0:0:18.82,26001
'0:0:18.84,26001
'0:0:18.86,26001
'0:0:18.88,26001
'0:0:18.9,26001
'0:0:18.92,26001
'0:0:18.94,26001
'0:0:18.96,26001
'0:0:18.98,26001
'0:0:19.0,26001
'0:0:19.02,26001
'0:0:19.04,26001
'0:0:19.06,25998
'0:0:19.08,25998
'0:0:19.1,25998
'0:0:19.12,25998
'0:0:19.14,25998
'0:0:19.16,25998
'0:0:19.18,25998
'0:0:19.2,25998
'0:0:19.22,25998
'0:0:19.24,25998
'0:0:19.26,25998
'0:0:19.28,25998
'0:0:19.3,25998
'0:0:19.32,25994
'0:0:19.34,25994
'0:0:19.36,25994
'0:0:19.38,25994
'0:0:19.4,25994
'0:0:19.42,25994
'0:0:19.44,25994
'0:0:19.46,25994
'0:0:19.48,25994
'0:0:19.5,25994
'0:0:19.52,25994
'0:0:19.54,25994
'0:0:19.56,25989
'0:0:19.58,25989
'0:0:19.6,25989
'0:0:19.62,25989
'0:0:19.64,25989
'0:0:19.66,25989
'0:0:19.68,25989
'0:0:19.7,25989
'0:0:19.72,25989
'0:0:19.74,25989
'0:0:19.76,25989
'0:0:19.78,25989
'0:0:19.8,25985
'0:0:19.82,25985
'0:0:19.84,25985
'0:0:19.86,25985
'0:0:19.88,25985
'0:0:19.9,25985
'0:0:19.92,25985
'0:0:19.94,25985
'0:0:19.96,25985
'0:0:19.98,25985
'0:0:20.0,25985
'0:0:20.02,25985
'0:0:20.04,25985
'0:0:20.06,25979
'0:0:20.08,25979
'0:0:20.1,25979
'0:0:20.12,25979
'0:0:20.14,25979
'0:0:20.16,25979
'0:0:20.18,25979
'0:0:20.2,25979
'0:0:20.22,25979
'0:0:20.24,25979
'0:0:20.26,25979
'0:0:20.28,25979
'0:0:20.3,25973
'0:0:20.32,25973
'0:0:20.34,25973
'0:0:20.36,25973
'0:0:20.38,25973
'0:0:20.4,25973
'0:0:20.42,25973
'0:0:20.44,25973
'0:0:20.46,25973
'0:0:20.48,25973
'0:0:20.5,25973
'0:0:20.52,25973
'0:0:20.54,25973
'0:0:20.56,25966
'0:0:20.58,25966
'0:0:20.6,25966
'0:0:20.62,25966
'0:0:20.64,25966
'0:0:20.66,25966
'0:0:20.68,25966
'0:0:20.7,25966
'0:0:20.72,25966
'0:0:20.74,25966
'0:0:20.76,25966
'0:0:20.78,25966
'0:0:20.8,25960
'0:0:20.82,25960
'0:0:20.84,25960
'0:0:20.86,25960
'0:0:20.88,25960
'0:0:20.9,25960
'0:0:20.92,25960
'0:0:20.94,25960
'0:0:20.96,25960
'0:0:20.98,25960
'0:0:21.0,25960
'0:0:21.02,25960
'0:0:21.04,25960
'0:0:21.06,25955
'0:0:21.08,25955
'0:0:21.1,25955
'0:0:21.12,25955
'0:0:21.14,25955
'0:0:21.16,25955
'0:0:21.18,25955
'0:0:21.2,25955
'0:0:21.22,25955
'0:0:21.24,25955
'0:0:21.26,25955
'0:0:21.28,25955
'0:0:21.3,25949
'0:0:21.32,25949
'0:0:21.34,25949
'0:0:21.36,25949
'0:0:21.38,25949
'0:0:21.4,25949
'0:0:21.42,25949
'0:0:21.44,25949
'0:0:21.46,25949
'0:0:21.48,25949
'0:0:21.5,25949
'0:0:21.52,25949
'0:0:21.54,25942
'0:0:21.56,25942
'0:0:21.58,25942
'0:0:21.6,25942
'0:0:21.62,25942
'0:0:21.64,25942
'0:0:21.66,25942
'0:0:21.68,25942
'0:0:21.7,25942
'0:0:21.72,25942
'0:0:21.74,25942
'0:0:21.76,25942
'0:0:21.78,25942
'0:0:21.8,25935
'0:0:21.82,25935
'0:0:21.84,25935
'0:0:21.86,25935
'0:0:21.88,25935
'0:0:21.9,25935
'0:0:21.92,25935
'0:0:21.94,25935
'0:0:21.96,25935
'0:0:21.98,25935
'0:0:22.0,25935
'0:0:22.02,25935
'0:0:22.04,25928
'0:0:22.06,25928
'0:0:22.08,25928
'0:0:22.1,25928
'0:0:22.12,25928
'0:0:22.14,25928
'0:0:22.16,25928
'0:0:22.18,25928
'0:0:22.2,25928
'0:0:22.22,25928
'0:0:22.24,25928
'0:0:22.26,25928
'0:0:22.28,25928
'0:0:22.3,25922
'0:0:22.32,25922
'0:0:22.34,25922
'0:0:22.36,25922
'0:0:22.38,25922
'0:0:22.4,25922
'0:0:22.42,25922
'0:0:22.44,25922
'0:0:22.46,25922
'0:0:22.48,25922
'0:0:22.5,25922
'0:0:22.52,25922
'0:0:22.54,25916
'0:0:22.56,25916
'0:0:22.58,25916
'0:0:22.6,25916
'0:0:22.62,25916
'0:0:22.64,25916
'0:0:22.66,25916
'0:0:22.68,25916
'0:0:22.7,25916
'0:0:22.72,25916
'0:0:22.74,25916
'0:0:22.76,25916
'0:0:22.78,25910
'0:0:22.8,25910
'0:0:22.82,25910
'0:0:22.84,25910
'0:0:22.86,25910
'0:0:22.88,25910
'0:0:22.9,25910
'0:0:22.92,25910
